"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Connie Sparkle Wrap Midi Skirt","Women","Clothing","Skirts","6571266","4SI3NNA",98.00,98.00,0.0,0,"300","2022-03-13 08:11:45"
"Kit Floral Jacquard Silk Blend Asymmetric Skirt","Women","Clothing","Skirts","6578930","Ronny Kobo",378.00,378.00,0.0,0,"500","2022-03-13 08:11:45"
"Bias Cut High-Low Hem Cover-Up Skirt","Women","Clothing","Skirts","6580738","Norma Kamali",135.00,135.00,0.0,0,"001","2022-03-13 08:11:45"
"High Waist Corset Front Garter Miniskirt","Women","Clothing","Skirts","6582337","Dion Lee",760.00,760.00,0.0,0,"301","2022-03-13 08:11:45"
"Slit Miniskirt","Women","Clothing","Skirts","6594052","Susana Monaco",128.00,128.00,0.0,0,"001","2022-03-13 08:11:45"
"Logo Band Pleated Miniskirt","Women","Clothing","Skirts","6599156","Off-White",850.00,850.00,0.0,0,"001","2022-03-13 08:11:45"
"Kade Ruffle Silk Miniskirt","Women","Clothing","Skirts","6604242","A.L.C.",395.00,395.00,0.0,0,"651","2022-03-13 08:11:45"
"Camilla Smocked Skirt","Women","Clothing","Skirts","6619531","LoveShackFancy",235.00,235.00,0.0,0,"300","2022-03-13 08:11:45"
"Gyna Leaf Print Skirt","Women","Clothing","Skirts","6624285","ba&sh",265.00,265.00,0.0,0,"001","2022-03-13 08:11:45"
"Zigzag Skirt","Women","Clothing","Skirts","6632722","Missoni",570.00,570.00,0.0,0,"100","2022-03-13 08:11:45"
"Addison Smocked Floral Miniskirt","Women","Clothing","Skirts","6680194","Rails",134.40,168.00,5.0,2,"654","2022-03-13 08:11:45"
"Gretchen Floral Skirt","Women","Clothing","Skirts","6681892","Stine Goya",270.00,270.00,0.0,0,"001","2022-03-13 08:11:45"
"Walk of Life Ruched High Waist Miniskirt","Women","Clothing","Skirts","6683712","BB Dakota by Steve Madden",59.00,59.00,0.0,0,"230","2022-03-13 08:11:45"
"Rib Knit Sweater Skirt","Women","Clothing","Skirts","6684607","Versace",1125.00,1125.00,0.0,0,"001","2022-03-13 08:11:45"
"Avas Print Miniskirt","Women","Clothing","Skirts","6687210","Free People",37.97,68.00,0.0,0,"650","2022-03-13 08:11:45"
"Floral Cotton Skirt","Women","Clothing","Skirts","6687513","byTiMo",277.00,277.00,0.0,0,"700","2022-03-13 08:11:45"
"Hollywood Corduroy Miniskirt","Women","Clothing","Skirts","6691943","LoveShackFancy",165.00,275.00,0.0,0,"541","2022-03-13 08:11:45"
"Cordelia Cotton Blend Macramé Skirt","Women","Clothing","Skirts","6692476","Jonathan Simkhai",495.00,495.00,0.0,0,"305","2022-03-13 08:11:45"
"Cerine Ruched Cotton Skirt","Women","Clothing","Skirts","6695370","Free People",98.00,98.00,0.0,0,"103","2022-03-13 08:11:45"
"To the Max Skirt","Women","Clothing","Skirts","6704775","BB Dakota by Steve Madden",49.00,49.00,0.0,0,"100","2022-03-13 08:11:45"
"Backswing Logo Skirt","Women","Clothing","Skirts","6714448","P.E Nation",110.00,110.00,0.0,0,"100","2022-03-13 08:11:45"
"Angeline Tiered Cotton Skirt","Women","Clothing","Skirts","6715724","XÍRENA",278.00,278.00,0.0,0,"812","2022-03-13 08:11:45"
"Good Girls Go to Mars Print Jersey Midi Skirt","Women","Clothing","Skirts","6744355","Dauphinette",380.00,380.00,0.0,0,"001","2022-03-13 08:11:45"
"Cotton Tweed Miniskirt","Women","Clothing","Skirts","6744921","& Other Stories",69.00,69.00,0.0,0,"001","2022-03-13 08:11:45"
"Timor Ribbed Cotton & Silk Pull-On Skirt","Women","Clothing","Skirts","6745066","Loulou Studio",365.00,365.00,0.0,0,"001","2022-03-13 08:11:45"
"Women's Embellished Knit Skirt","Women","Clothing","Skirts","6760505","River Island",55.00,55.00,0.0,0,"001","2022-03-13 08:11:45"
"Check Miniskirt","Women","Clothing","Skirts","6760541","River Island",55.00,55.00,0.0,0,"001","2022-03-13 08:11:45"
"Elana Stripe Miniskirt","Women","Clothing","Skirts","6766287","Alice + Olivia",195.00,195.00,0.0,0,"111","2022-03-13 08:11:45"
"Ombré Stripe Rib Knit Skirt","Women","Clothing","Skirts","6789104","Misook",198.00,198.00,0.0,0,"451","2022-03-13 08:11:45"
"Utility Miniskirt","Women","Clothing","Skirts","6817375","River Island",70.00,70.00,0.0,0,"270","2022-03-13 08:11:45"
"Stripe Cotton Blend Knit Skirt","Women","Clothing","Skirts","6827784","Rebecca Vallance",210.00,210.00,0.0,0,"680","2022-03-13 08:11:45"
"Midi Slip Skirt","Women","Clothing","Skirts","5385035","Madewell",98.00,98.00,4.7,3,"020","2022-03-13 08:11:45"
"Ruched Maternity Skirt","Women","Clothing","Skirts","5568521","Angel Maternity",49.95,49.95,4.0,2,"250","2022-03-13 08:11:45"
"Stretch Cotton Denim Skirt","Women","Clothing","Skirts","5724090","SLINK Jeans",78.00,78.00,0.0,0,"001","2022-03-13 08:11:45"
"Amas Vegan Leather Wrap Skirt","Women","Clothing","Skirts","5725607","Nanushka",400.00,400.00,0.0,0,"003","2022-03-13 08:11:45"
"Checking In Satin Miniskirt","Women","Clothing","Skirts","5807256","Lulus",42.00,42.00,4.0,1,"001","2022-03-13 08:11:45"
"Floral Ruched Tulle Skirt","Women","Clothing","Skirts","5831689","Fuzzi",375.00,375.00,5.0,1,"001","2022-03-13 08:11:45"
"Landen Tie Dye Ruffle Skirt","Women","Clothing","Skirts","5872617","LoveShackFancy",171.00,285.00,0.0,0,"700","2022-03-13 08:11:45"
"Floral Appliqué Hem Mesh Skirt","Women","Clothing","Skirts","5893339","Coquette",39.00,39.00,1.0,1,"001","2022-03-13 08:11:45"
"Ruched Maternity Skirt","Women","Clothing","Skirts","5899854","Angel Maternity",59.95,59.95,0.0,0,"100","2022-03-13 08:11:45"
"Stripe Maternity Midi Skirt","Women","Clothing","Skirts","5899857","Angel Maternity",59.95,59.95,0.0,0,"100","2022-03-13 08:11:45"
"Floral Appliqué Hem Mesh Skirt","Women","Clothing","Skirts","5913344","Coquette",43.00,43.00,0.0,0,"001","2022-03-13 08:11:45"
"Smocked Tiered Ruffle Miniskirt","Women","Clothing","Skirts","5927066","VERO MODA",59.00,59.00,4.0,1,"684","2022-03-13 08:11:45"
"Melanie Indigo Tie Dye Skirt","Women","Clothing","Skirts","5950079","Cara Cara",395.00,395.00,0.0,0,"401","2022-03-13 08:11:45"
"Aquinnah Cotton Eyelet Skirt","Women","Clothing","Skirts","5950086","Cara Cara",237.00,395.00,0.0,0,"100","2022-03-13 08:11:45"
"Aurelie Ruched Knit Midi Skirt","Women","Clothing","Skirts","5953499","A.L.C.",178.75,325.00,4.0,1,"250","2022-03-13 08:11:45"
"Hilary Body-Con Maternity Skirt","Women","Clothing","Skirts","5956342","Emilia George",185.00,185.00,0.0,0,"001","2022-03-13 08:11:45"
"Jersey Maternity Maxi Skirt","Women","Clothing","Skirts","5963805","Angel Maternity",49.95,49.95,0.0,0,"250","2022-03-13 08:11:45"
"Maternity Midi Skirt","Women","Clothing","Skirts","5963816","Angel Maternity",24.95,49.95,0.0,0,"410","2022-03-13 08:11:45"
"Jeera Floral Smocked Skirt","Women","Clothing","Skirts","5966193","Baum und Pferdgarten",74.50,149.00,0.0,0,"400","2022-03-13 08:11:45"
"Angie Side Slit Rib Skirt","Women","Clothing","Skirts","5966648","Rails",59.20,148.00,0.0,0,"301","2022-03-13 08:11:45"
"Joris Plaid Pleated Cotton Skirt","Women","Clothing","Skirts","6109529","maje",295.00,295.00,0.0,0,"700","2022-03-13 08:11:45"
"Ashton Compact Rib Midi Skirt","Women","Clothing","Skirts","6125493","Jonathan Simkhai",138.00,345.00,0.0,0,"200","2022-03-13 08:11:45"
"Marnie Mosaic Print Skirt","Women","Clothing","Skirts","6147356","ba&sh",280.00,280.00,4.0,2,"150","2022-03-13 08:11:45"
"Organic Cotton Denim Skirt","Women","Clothing","Skirts","6292910","Ganni",141.00,235.00,0.0,0,"020","2022-03-13 08:11:45"
"Wash Lab Hampton Button Front Denim Skirt","Women","Clothing","Skirts","6363833","Wash Lab Denim",112.00,112.00,0.0,0,"422","2022-03-13 08:11:45"
"Scarf Print Skirt","Women","Clothing","Skirts","6403203","En Saison",72.00,72.00,0.0,0,"900","2022-03-13 08:11:45"
"Orson Plaid Miniskirt","Women","Clothing","Skirts","6405562","LoveShackFancy",207.00,345.00,0.0,0,"426","2022-03-13 08:11:45"
"Soft Knit Skirt","Women","Clothing","Skirts","6407074","byTiMo",119.25,265.00,0.0,0,"200","2022-03-13 08:11:45"
"Pencil Skirt","Women","Clothing","Skirts","6407928","Dai Moda",52.00,52.00,0.0,0,"001","2022-03-13 08:11:45"
"Ellie High Waist Coated Skirt","Women","Clothing","Skirts","6408736","VERO MODA",55.00,55.00,0.0,0,"001","2022-03-13 08:11:45"
