"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Men's FOCO White Atlanta Falcons Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6781269","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO White Green Bay Packers Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6781312","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO White Denver Broncos Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6781322","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's adidas Deep Sea Blue Seattle Kraken Logo AEROREADY Pullover Sweater","Men","Clothing","Sweaters","6781330","adidas",119.99,119.99,4.5,6,"410","2022-03-13 08:11:45"
"Men's adidas Red Detroit Red Wings Logo AEROREADY Pullover Sweater","Men","Clothing","Sweaters","6781595","adidas",119.99,119.99,4.6,5,"600","2022-03-13 08:11:45"
"Men's FOCO Scarlet San Francisco 49ers Colorblend Pullover Sweater","Men","Clothing","Sweaters","6781599","FOCO",49.99,49.99,0.0,0,"610","2022-03-13 08:11:45"
"Men's FOCO White New York Jets Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6781629","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO Navy Chicago Bears Colorblend Pullover Sweater","Men","Clothing","Sweaters","6781709","FOCO",49.99,49.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's FOCO Royal Los Angeles Dodgers Ticket Light-Up Ugly Sweater","Men","Clothing","Sweaters","6781751","FOCO",89.99,89.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's FOCO Navy Tennessee Titans Colorblend Pullover Sweater","Men","Clothing","Sweaters","6781764","FOCO",49.99,49.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's FOCO Purple Baltimore Ravens Pocket Pullover Sweater","Men","Clothing","Sweaters","6781794","FOCO",64.99,64.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's FOCO Purple Minnesota Vikings Colorblend Pullover Sweater","Men","Clothing","Sweaters","6781797","FOCO",49.99,49.99,0.0,0,"500","2022-03-13 08:11:45"
"Men's FOCO Navy Tennessee Titans Pocket Pullover Sweater","Men","Clothing","Sweaters","6781823","FOCO",64.99,64.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's FOCO Royal New York Giants Colorblend Pullover Sweater","Men","Clothing","Sweaters","6781908","FOCO",49.99,49.99,0.0,0,"431","2022-03-13 08:11:45"
"Men's FOCO White Pittsburgh Steelers Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6781954","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO Black Arizona Cardinals Pocket Pullover Sweater","Men","Clothing","Sweaters","6781960","FOCO",64.99,64.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's FOCO Black Carolina Panthers Pocket Pullover Sweater","Men","Clothing","Sweaters","6781970","FOCO",64.99,64.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's FOCO Green Green Bay Packers Pocket Pullover Sweater","Men","Clothing","Sweaters","6782012","FOCO",64.99,64.99,0.0,0,"300","2022-03-13 08:11:45"
"Men's FOCO Gray Las Vegas Raiders Colorblend Pullover Sweater","Men","Clothing","Sweaters","6782052","FOCO",49.99,49.99,0.0,0,"020","2022-03-13 08:11:45"
"Men's FOCO White Minnesota Vikings Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6782310","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO White Los Angeles Rams Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6782340","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO White Detroit Lions Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6782379","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's FOCO White Jacksonville Jaguars Big Logo Knit Ugly Pullover Sweater","Men","Clothing","Sweaters","6782410","FOCO",79.99,79.99,0.0,0,"100","2022-03-13 08:11:45"
"Men's adidas Black Pittsburgh Penguins Logo AEROREADY Pullover Sweater","Men","Clothing","Sweaters","6782427","adidas",119.99,119.99,4.0,1,"001","2022-03-13 08:11:45"
"Men's FOCO Black Las Vegas Raiders Pocket Pullover Sweater","Men","Clothing","Sweaters","6782531","FOCO",64.99,64.99,0.0,0,"001","2022-03-13 08:11:45"
"Men's FOCO Navy Denver Broncos Pocket Pullover Sweater","Men","Clothing","Sweaters","6782547","FOCO",64.99,64.99,0.0,0,"410","2022-03-13 08:11:45"
"Men's FOCO Gold Los Angeles Chargers Pocket Pullover Sweater","Men","Clothing","Sweaters","6782556","FOCO",64.99,64.99,0.0,0,"710","2022-03-13 08:11:45"
"Men's FOCO Gray Philadelphia Eagles Colorblend Pullover Sweater","Men","Clothing","Sweaters","6782557","FOCO",49.99,49.99,0.0,0,"020","2022-03-13 08:11:45"
